camera_motion,video,group,snippet,length,sum,target test length,test set,tmp,actual test length,total target test,actual total test
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_26.mp4,140,18080,3616,FALSE,0,3580,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_27.mp4,140,,,TRUE,140,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_28.mp4,440,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_29.mp4,360,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_30.mp4,140,,,TRUE,140,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_31.mp4,1980,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_32.mp4,700,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_33.mp4,80,,,TRUE,80,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_34.mp4,1260,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_35.mp4,100,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_36.mp4,880,,,TRUE,880,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_37.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_38.mp4,180,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_39.mp4,60,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_40.mp4,660,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_41.mp4,80,,,TRUE,80,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_42.mp4,240,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_43.mp4,80,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_44.mp4,500,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_45.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_46.mp4,680,,,TRUE,680,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_47.mp4,220,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_48.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_49.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_50.mp4,300,,,TRUE,300,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_51.mp4,280,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_52.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_53.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_54.mp4,380,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_55.mp4,300,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_56.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_57.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_58.mp4,220,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_59.mp4,320,,,TRUE,320,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_60.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_61.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_62.mp4,260,,,TRUE,260,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_63.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_64.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_65.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_66.mp4,140,,,TRUE,140,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_67.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_68.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_69.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_70.mp4,280,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_71.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_72.mp4,60,,,TRUE,60,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_73.mp4,620,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_74.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_75.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_76.mp4,80,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_77.mp4,60,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_78.mp4,100,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_79.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_80.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_81.mp4,120,,,TRUE,120,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_82.mp4,80,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_83.mp4,100,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_84.mp4,180,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_85.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_86.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_87.mp4,100,,,TRUE,100,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_88.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_89.mp4,100,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_90.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_91.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_92.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_93.mp4,180,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_94.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_95.mp4,80,,,TRUE,80,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_96.mp4,200,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_97.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_98.mp4,80,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_99.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_100.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_101.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_102.mp4,200,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_103.mp4,200,,,TRUE,200,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_104.mp4,340,,,FALSE,0,,,
FALSE,test/test_video_0010.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_105.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_106.mp4,400,4360,872,TRUE,400,880,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_107.mp4,820,,,FALSE,0,,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_108.mp4,300,,,TRUE,300,,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_109.mp4,520,,,FALSE,0,,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_110.mp4,60,,,FALSE,0,,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_111.mp4,1200,,,FALSE,0,,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_112.mp4,240,,,FALSE,0,,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_113.mp4,180,,,TRUE,180,,,
FALSE,test/test_video_0011.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_114.mp4,640,,,FALSE,0,,,
FALSE,test/test_video_0013.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_115.mp4,3080,13820,2764,FALSE,0,2360,,
FALSE,test/test_video_0013.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_116.mp4,3240,,,FALSE,0,,,
FALSE,test/test_video_0013.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_117.mp4,760,,,FALSE,0,,,
FALSE,test/test_video_0013.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_118.mp4,4380,,,FALSE,0,,,
FALSE,test/test_video_0013.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_119.mp4,2360,,,TRUE,2360,,,
FALSE,test/test_video_0014.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_120.mp4,8800,28480,5696,FALSE,0,5480,,
FALSE,test/test_video_0014.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_121.mp4,3500,,,TRUE,3500,,,
FALSE,test/test_video_0014.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_122.mp4,5820,,,FALSE,0,,,
FALSE,test/test_video_0014.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_123.mp4,2680,,,FALSE,0,,,
FALSE,test/test_video_0014.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_124.mp4,1980,,,TRUE,1980,,,
FALSE,test/test_video_0014.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_125.mp4,760,,,FALSE,0,,,
FALSE,test/test_video_0014.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_126.mp4,4940,,,FALSE,0,,,
FALSE,test/test_video_0015.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_127.mp4,4220,4220,844,FALSE,0,0,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_128.mp4,180,4560,912,FALSE,0,1700,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_129.mp4,300,,,TRUE,300,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_130.mp4,100,,,TRUE,100,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_131.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_132.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_133.mp4,60,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_134.mp4,200,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_135.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_136.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_137.mp4,420,,,TRUE,420,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_138.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_139.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_140.mp4,100,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_141.mp4,120,,,TRUE,120,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_142.mp4,620,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_143.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_144.mp4,400,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_145.mp4,360,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_146.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_147.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_148.mp4,480,,,TRUE,480,,,
FALSE,test/test_video_0000.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_149.mp4,280,,,TRUE,280,,,
FALSE,test/test_video_0001.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_150.mp4,5380,5380,1076,FALSE,0,0,,
FALSE,test/test_video_0004.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_151.mp4,1180,3740,748,TRUE,1180,2080,,
FALSE,test/test_video_0004.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_152.mp4,120,,,FALSE,0,,,
FALSE,test/test_video_0004.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_153.mp4,900,,,TRUE,900,,,
FALSE,test/test_video_0004.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_154.mp4,640,,,FALSE,0,,,
FALSE,test/test_video_0004.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_155.mp4,900,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_156.mp4,860,9960,1992,FALSE,0,2140,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_157.mp4,460,,,TRUE,460,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_158.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_159.mp4,220,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_160.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_161.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_162.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_163.mp4,420,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_164.mp4,40,,,TRUE,40,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_165.mp4,200,,,TRUE,200,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_166.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_167.mp4,340,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_168.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_169.mp4,200,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_170.mp4,60,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_171.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_172.mp4,20,,,TRUE,20,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_173.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_174.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_175.mp4,60,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_176.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_177.mp4,100,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_178.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_179.mp4,260,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_180.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_181.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_182.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_183.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_184.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_185.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_186.mp4,400,,,TRUE,400,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_187.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_188.mp4,560,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_189.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_190.mp4,300,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_191.mp4,60,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_192.mp4,220,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_193.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_194.mp4,400,,,TRUE,400,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_195.mp4,380,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_196.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_197.mp4,180,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_198.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_199.mp4,240,,,TRUE,240,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_200.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_201.mp4,280,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_202.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_203.mp4,360,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_204.mp4,40,,,TRUE,40,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_205.mp4,180,,,TRUE,180,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_206.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_207.mp4,20,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_208.mp4,40,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_209.mp4,260,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_210.mp4,160,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_211.mp4,80,,,TRUE,80,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_212.mp4,620,,,FALSE,0,,,
FALSE,test/test_video_0008.mp4,SurgVisDom_test_indicators,without_camera_motion/vid_213.mp4,20,,,FALSE,0,,,
